utc_timestamp,FR_temperature,FR_radiation_direct_horizontal,FR_radiation_diffuse_horizontal
2015-01-10T07:00:00Z,9.888,0.348543693474,6.05275630653
2015-01-10T08:00:00Z,10.384,4.09017864767,48.5315213523
2015-01-10T09:00:00Z,11.065,9.59752089536,95.1096791046
2015-01-10T10:00:00Z,11.753,15.5421297321,131.408570268
2015-01-10T11:00:00Z,12.319,18.1676263223,147.957773678
2015-01-10T12:00:00Z,12.602,15.703627406,140.810772594
2015-01-10T13:00:00Z,12.556,13.2190235938,120.853176406
2015-01-10T14:00:00Z,12.153,7.73763115682,81.2628688432
2015-01-10T15:00:00Z,11.23,2.30578568442,31.2740143156
2015-01-10T16:00:00Z,10.01,0.0315077482285,0.856292251771
2015-01-10T17:00:00Z,9.279,0,0
2015-01-10T18:00:00Z,8.719,0,0
2015-01-10T19:00:00Z,8.174,0,0
2015-01-10T20:00:00Z,7.626,0,0
2015-01-10T21:00:00Z,7.185,0,0
2015-01-10T22:00:00Z,6.822,0,0
2015-01-10T23:00:00Z,6.499,0,0
2015-01-11T00:00:00Z,6.224,0,0
2015-01-11T01:00:00Z,5.992,0,0
2015-01-11T02:00:00Z,5.785,0,0
2015-01-11T03:00:00Z,5.543,0,0
2015-01-11T04:00:00Z,5.226,0,0
2015-01-11T05:00:00Z,4.919,0,0
2015-01-11T06:00:00Z,4.632,0.000304862305613,0.00389513769439
2015-01-11T07:00:00Z,4.288,0.689899392104,6.7281006079
2015-01-11T08:00:00Z,4.604,14.610437157,56.140962843
2015-01-11T09:00:00Z,5.412,79.2119723674,98.7162276326
2015-01-11T10:00:00Z,6.41,178.830862806,99.2023371936
2015-01-11T11:00:00Z,7.198,223.650529466,98.6578705336
2015-01-11T12:00:00Z,7.492,196.415000393,106.402699607
2015-01-11T13:00:00Z,7.409,136.757708656,105.534991344
2015-01-11T14:00:00Z,6.937,64.490461148,86.468638852
2015-01-11T15:00:00Z,5.908,12.8153796844,38.3044203156
2015-01-11T16:00:00Z,4.623,0.24227511036,1.46272488964
2015-01-11T17:00:00Z,4.24,0,0
2015-01-11T18:00:00Z,3.978,0,0
2015-01-11T19:00:00Z,3.816,0,0
2015-01-11T20:00:00Z,3.734,0,0
2015-01-11T21:00:00Z,3.65,0,0
2015-01-11T22:00:00Z,3.504,0,0
2015-01-11T23:00:00Z,3.398,0,0
2015-01-12T00:00:00Z,3.284,0,0
2015-01-12T01:00:00Z,3.226,0,0
2015-01-12T02:00:00Z,3.205,0,0
2015-01-12T03:00:00Z,3.154,0,0
2015-01-12T04:00:00Z,3.109,0,0
2015-01-12T05:00:00Z,3.092,0,0
2015-01-12T06:00:00Z,3.084,0.000900776521468,0.00569922347853
2015-01-12T07:00:00Z,3.249,2.27452806847,9.17237193153
2015-01-12T08:00:00Z,4.269,14.3341980398,58.0528019602
2015-01-12T09:00:00Z,5.494,35.7010628775,109.465137123
2015-01-12T10:00:00Z,6.671,64.2274201711,143.892379829
2015-01-12T11:00:00Z,7.706,81.9304265856,158.291673414
2015-01-12T12:00:00Z,8.474,81.0665006929,154.805199307
2015-01-12T13:00:00Z,8.856,67.966857407,133.339942593
2015-01-12T14:00:00Z,8.617,43.3211115286,95.1633884714
2015-01-12T15:00:00Z,7.421,11.2993381017,40.1310618983
2015-01-12T16:00:00Z,6.211,0.215892241779,1.56350775822
2015-01-12T17:00:00Z,5.835,0,0
2015-01-12T18:00:00Z,5.598,0,0
2015-01-12T19:00:00Z,5.361,0,0
2015-01-12T20:00:00Z,5.162,0,0
2015-01-12T21:00:00Z,5.1,0,0
2015-01-12T22:00:00Z,5.011,0,0
2015-01-12T23:00:00Z,4.973,0,0
2015-01-13T00:00:00Z,5.079,0,0
2015-01-13T01:00:00Z,5.136,0,0
2015-01-13T02:00:00Z,5.15,0,0
2015-01-13T03:00:00Z,5.163,0,0
2015-01-13T04:00:00Z,5.12,0,0
2015-01-13T05:00:00Z,5.102,0,0
2015-01-13T06:00:00Z,5.043,0.000924557782397,0.0067754422176
2015-01-13T07:00:00Z,5.073,1.15450400851,8.65309599149
2015-01-13T08:00:00Z,5.97,14.241109138,61.267890862
2015-01-13T09:00:00Z,7.357,35.893942773,114.512857227
2015-01-13T10:00:00Z,8.651,39.8128167334,147.295983267
2015-01-13T11:00:00Z,9.586,38.0455838768,161.293516123
2015-01-13T12:00:00Z,10.125,38.1864065754,159.501693425
2015-01-13T13:00:00Z,10.284,29.5391895398,135.56921046
2015-01-13T14:00:00Z,10.062,16.6920630209,93.2178369791
2015-01-13T15:00:00Z,9.267,4.47959351357,36.9164064864
2015-01-13T16:00:00Z,8.145,0.0914307409575,1.38406925904
2015-01-13T17:00:00Z,7.5,0,0
2015-01-13T18:00:00Z,7.031,0,0
2015-01-13T19:00:00Z,6.767,0,0
2015-01-13T20:00:00Z,6.555,0,0
2015-01-13T21:00:00Z,6.361,0,0
2015-01-13T22:00:00Z,6.218,0,0
2015-01-13T23:00:00Z,6.09,0,0
2015-01-14T00:00:00Z,5.98,0,0
2015-01-14T01:00:00Z,5.805,0,0
2015-01-14T02:00:00Z,5.507,0,0
2015-01-14T03:00:00Z,5.219,0,0
2015-01-14T04:00:00Z,5.016,0,0
2015-01-14T05:00:00Z,4.892,0,0
2015-01-14T06:00:00Z,4.829,0.000307073195106,0.00569292680489
2015-01-14T07:00:00Z,4.885,0.291130633437,6.14936936656
2015-01-14T08:00:00Z,5.57,3.45565362545,46.6760463746
2015-01-14T09:00:00Z,6.55,15.1994729406,104.445727059
2015-01-14T10:00:00Z,7.535,42.4677284962,151.089371504
2015-01-14T11:00:00Z,8.266,67.0902463181,168.548553682
2015-01-14T12:00:00Z,8.612,74.5647523397,164.26034766
2015-01-14T13:00:00Z,8.651,61.7673989283,141.979001072
2015-01-14T14:00:00Z,8.304,31.381557069,101.517342931
2015-01-14T15:00:00Z,7.08,4.69187845027,38.1225215497
2015-01-14T16:00:00Z,5.848,0.068391126498,1.3305088735
2015-01-14T17:00:00Z,5.679,0,0
2015-01-14T18:00:00Z,5.608,0,0
2015-01-14T19:00:00Z,5.639,0,0
